emp_id,date,week_day,day_type,emp_name,in_time,out_time,wrk_hrs,status
1,15-07-2026,Wednesday,working day,Namya Shah,10:00 AM,7:00 PM,09:00,regular
1,16-07-2026,Thursday,working day,Namya Shah,,,,leave
1,17-07-2026,Friday,working day,Namya Shah,10:00 AM,7:00 PM,09:00,regular
1,18-07-2026,Saturday,holiday,Namya Shah,,,,holiday
1,19-07-2026,Sunday,holiday,Namya Shah,,,,holiday
1,20-07-2026,Monday,working day,Namya Shah,,,,leave
1,21-07-2026,Tuesday,working day,Namya Shah,10:00 AM,3:00 PM,05:00,half
1,22-07-2026,Wednesday,working day,Namya Shah,10:00 AM,3:00 PM,05:00,half
1,23-07-2026,Thursday,working day,Namya Shah,10:30 AM,6:30 PM,08:00,early
1,24-07-2026,Friday,working day,Namya Shah,10:45 AM,7:45 PM,09:00,late
1,25-07-2026,Saturday,holiday,Namya Shah,,,,holiday
1,26-07-2026,Sunday,holiday,Namya Shah,,,,holiday
1,27-07-2026,Monday,working day,Namya Shah,10:30 AM,7:30 PM,09:00,regular
1,28-07-2026,Tuesday,working day,Namya Shah,10:00 AM,7:00 PM,09:00,regular
1,29-07-2026,Wednesday,working day,Namya Shah,10:00 AM,6:00 PM,08:00,early
1,30-07-2026,Thursday,working day,Namya Shah,10:00 AM,7:00 PM,09:00,regular
1,31-07-2026,Friday,working day,Namya Shah,10:00 AM,7:00 PM,09:00,regular
1,01-08-2026,Saturday,holiday,Namya Shah,,,,holiday
1,02-08-2026,Sunday,holiday,Namya Shah,,,,holiday
1,03-08-2026,Monday,working day,Namya Shah,10:00 AM,3:00 PM,05:00,half
1,04-08-2026,Tuesday,working day,Namya Shah,10:30 AM,3:30 PM,05:00,half
1,05-08-2026,Wednesday,working day,Namya Shah,10:45 AM,7:45 PM,09:00,late
1,06-08-2026,Thursday,working day,Namya Shah,10:15 AM,7:15 PM,09:00,regular
1,07-08-2026,Friday,working day,Namya Shah,10:00 AM,8:00 PM,10:00,regular
1,08-08-2026,Saturday,holiday,Namya Shah,,,,holiday
1,09-08-2026,Sunday,holiday,Namya Shah,,,,holiday
1,10-08-2026,Monday,working day,Namya Shah,10:00 AM,3:00 PM,05:00,half
1,11-08-2026,Tuesday,working day,Namya Shah,10:15 AM,7:15 PM,09:00,regular
1,12-08-2026,Wednesday,working day,Namya Shah,10:00 AM,7:00 PM,09:00,regular
1,13-08-2026,Thursday,working day,Namya Shah,10:20 AM,7:20 PM,09:00,regular
2,17-07-2026,Friday,working day,Chirag Shah,10:00 AM,7:00 PM,09:00,regular
2,18-07-2026,Saturday,holiday,Chirag Shah,,,,holiday
2,19-07-2026,Sunday,holiday,Chirag Shah,,,,holiday
